sale_id,sale_date,store_id,store_name,location,manager,opening_date,product_id,product_name,category,product_price,product_cost,launch_date,product_status,units_sold,total_cost,total_revenue,profit
10001,2023-01-02,501,Tienda Centro,Madrid,Juan Perez,2022-01-10,101,Cafetera Premium,Electrodomesticos,90.0,60.0,2023-01-01,active,5,300.0,450.0,150.0
10002,2023-01-03,501,Tienda Centro,Madrid,Juan Perez,2022-01-10,102,Cafetera Basica,Electrodomesticos,60.0,40.0,2023-01-15,active,3,120.0,180.0,60.0
10003,2023-01-03,501,Tienda Centro,Madrid,Juan Perez,2022-01-10,105,Batidora Compacta,Electrodomesticos,80.0,56.0,2023-02-01,active,1,56.0,80.0,24.0
10004,2023-01-15,502,Tienda Norte,Barcelona,Laura Lopez,2022-02-05,103,Tostadora 2 rebanadas,Electrodomesticos,30.0,20.0,2022-11-01,active,2,40.0,60.0,20.0
10005,2023-02-10,502,Tienda Norte,Barcelona,Laura Lopez,2022-02-05,104,Tostadora 4 rebanadas,Electrodomesticos,50.0,30.0,2022-12-01,paused,1,30.0,50.0,20.0
10006,2023-02-11,502,Tienda Norte,Barcelona,Laura Lopez,2022-02-05,106,Lavadora 7kg,Electrodomesticos,300.0,200.0,2022-05-01,discontinued,1,200.0,300.0,100.0
10007,2023-02-15,503,Tienda Sur,Sevilla,Carlos Ramirez,2022-03-01,107,Tableta 8 pulgadas,Electronica,120.0,95.0,2023-03-10,active,2,190.0,240.0,50.0
10008,2023-02-16,503,Tienda Sur,Sevilla,Carlos Ramirez,2022-03-01,108,Smartphone Gama Media,Electronica,250.0,180.0,2023-03-15,active,1,180.0,250.0,70.0
10009,2023-02-20,504,Tienda Este,Valencia,Ana Gomez,2022-04-15,109,Smartphone Gama Alta,Electronica,500.0,380.0,2023-03-20,active,1,380.0,500.0,120.0
10010,2023-03-01,501,Tienda Centro,Madrid,Juan Perez,2022-01-10,110,Laptop Basica,Electronica,450.0,350.0,2023-01-05,paused,2,700.0,900.0,200.0
10011,2023-03-05,506,Tienda Duplicada,Madrid,Julian Casas,2022-05-20,105,Batidora Compacta,Electrodomesticos,80.0,56.0,2023-02-01,active,2,112.0,160.0,48.0
10012,2023-03-05,506,Tienda Duplicada,Madrid,Julian Casas,2022-05-20,117,Pack Cuchillos x3,Hogar,40.0,25.0,2023-01-05,active,5,140.0,200.0,60.0
10013,2023-03-10,507,Tienda Móvil,Itinerante,Maria Diaz,2022-06-10,101,Cafetera Premium,Electrodomesticos,90.0,60.0,2023-01-01,active,10,600.0,850.0,250.0
10014,2023-03-11,507,Tienda Móvil,Itinerante,Maria Diaz,2022-06-10,120,Plancha de Ropa,Electrodomesticos,45.0,30.0,2023-03-01,active,2,60.0,90.0,30.0
10015,2023-03-20,501,Tienda Centro,Madrid,Juan Perez,2022-01-10,999,Desconocido,Electrodomesticos,200.0,100.0,2023-01-01,active,1,100.0,200.0,100.0
10016,2023-03-25,509,Tienda Online,Online,Virtual Manager,2022-07-01,115,Termo 1L,Hogar,25.0,18.0,2022-09-15,active,3,54.0,75.0,21.0
10017,2023-03-26,509,Tienda Online,Online,Virtual Manager,2022-07-01,114,Termo 500ml,Hogar,15.0,10.0,2022-09-01,active,5,50.0,75.0,25.0
10018,2023-04-01,501,Tienda Centro,Madrid,Juan Perez,2022-01-10,116,Aspiradora Robot,Electrodomesticos,250.0,180.0,2022-10-01,active,1,180.0,250.0,70.0
10019,2023-04-02,501,Tienda Centro,Madrid,Juan Perez,2022-01-10,117,Pack Cuchillos x3,Hogar,40.0,25.0,2023-01-05,active,1,25.0,40.0,15.0
10020,2023-04-05,999,Desconocido,Desconocido,Desconocido,2022-01-10,101,Cafetera Premium,Electrodomesticos,90.0,60.0,2023-01-01,active,2,120.0,180.0,60.0
10021,2023-04-06,502,Tienda Norte,Barcelona,Laura Lopez,2022-02-05,119,Ventilador de Pie,Electrodomesticos,35.0,25.0,2023-02-20,active,1,25.0,35.0,10.0
10022,2023-04-07,502,Tienda Norte,Barcelona,Laura Lopez,2022-02-05,120,Plancha de Ropa,Electrodomesticos,45.0,30.0,2023-03-01,active,2,60.0,90.0,30.0
10023,2023-04-07,502,Tienda Norte,Barcelona,Laura Lopez,2022-02-05,120,Plancha de Ropa,Electrodomesticos,45.0,30.0,2023-03-01,active,2,60.0,90.0,30.0
10024,2023-04-10,505,Tienda Oeste,Bilbao,Pedro Hernandez,2022-05-01,113,Camara Reflex,Electronica,800.0,600.0,2023-04-10,active,1,600.0,800.0,200.0
10025,2023-04-10,505,Tienda Oeste,Bilbao,Pedro Hernandez,2022-05-01,112,Camara Deportiva,Electronica,200.0,150.0,2023-04-01,active,2,300.0,400.0,100.0
10026,2023-04-11,505,Tienda Oeste,Bilbao,Pedro Hernandez,2022-05-01,110,Laptop Basica,Electronica,450.0,350.0,2023-01-05,paused,3,1050.0,1350.0,300.0
10027,2023-04-15,509,Tienda Online,Online,Virtual Manager,2022-07-01,108,Smartphone Gama Media,Electronica,250.0,180.0,2023-03-15,active,2,360.0,500.0,140.0
10028,2023-04-16,504,Tienda Este,Valencia,Ana Gomez,2022-04-15,120,Plancha de Ropa,Electrodomesticos,45.0,30.0,2023-03-01,active,3,90.0,135.0,45.0
10029,2023-04-20,504,Tienda Este,Valencia,Ana Gomez,2022-04-15,999,Desconocido,Electrodomesticos,200.0,150.0,2023-01-01,active,5,750.0,1000.0,250.0
10030,2023-05-01,506,Tienda Duplicada,Madrid,Julian Casas,2022-05-20,118,Parrilla Electrica,Electrodomesticos,100.0,70.0,2023-02-15,active,2,140.0,200.0,60.0
10031,2023-05-02,506,Tienda Duplicada,Madrid,Julian Casas,2022-05-20,119,Ventilador de Pie,Electrodomesticos,35.0,25.0,2023-02-20,active,3,75.0,105.0,30.0
10032,2023-05-02,508,Pop-up Store,Barcelona,Desconocido,2023-01-01,101,Cafetera Premium,Electrodomesticos,90.0,60.0,2023-01-01,active,4,240.0,360.0,120.0
10033,2023-05-03,508,Pop-up Store,Barcelona,Desconocido,2023-01-01,999,Desconocido,Electrodomesticos,200.0,150.0,2023-01-01,active,1,150.0,200.0,50.0
